20251024,280
20251025,278
20251026,278
20251027,278
20251028,272
20251029,264
20251030,250
20251031,243
20251101,232
20251102,222
20251103,220
20251104,218
20251105,212
20251106,205
20251107,199
20251108,199
20251109,199
20251110,191
20251111,188
20251112,187
20251113,180
20251114,174
20251115,174
20251116,174
20251117,174
20251118,174
20251119,169
20251120,165
20251121,150
20251122,132
20251123,132
20251124,106
20251125,99
20251126,75
20251127,75
20251128,71
20251129,62
20251130,62
20251201,62
20251202,58
20251203,49
20251204,49
20251205,49
20251206,48
20251207,48
20251208,48
20251209,48
20251210,45
20251211,40
20251212,39
20251213,30
20251214,30
20251215,30
20251216,30
20251217,30
20251218,29
20251219,25
20251220,23
20251225,23
20251226,23
20251227,23
20251228,23
20251229,23
20251230,23
20251231,23
20260101,23
20260102,23
20260103,23
20260104,23
20260105,23
20260106,23
20260107,23
20260108,23
20260109,23
20260110,23
20260111,23
20260112,23
20260113,21
20260114,19
20260115,17
20260116,16
20260117,14
20260118,14
20260119,14
20260120,10
20260121,6
20260122,4
20260123,1
20260124,1
20260125,1
20260126,1
20260127,0
20260128,0
20260129,0
20260130,0
20260131,0
20260201,0
20260202,0
20260203,0
20260204,0
20260205,0
20260206,0
20260207,0
20260208,0
20260209,0
20260210,0
